Relation type to GLP-1 RA,Entity type,,,,Nodes (Entity type)
3 Times Per Week,EXERCISE_FREQUENCY_WHEN_OFF,,,,EXERCISE_FREQUENCY_WHEN_OFF
60 Minutes,RELATED_TO,,,,RELATED_TO
60 Minutes,RELATED_TO,,,,INCLUDES
7 Workouts A Week,INCLUDES,,,, 73 Lbs
7 Workouts A Week,INCLUDES,,,,0.5
7 Workouts A Week,INCLUDES,,,,1
7 Workouts A Week,INCLUDES,,,,0.25
7 Workouts A Week,INCLUDES,,,, 144.4 Kg
7 Workouts A Week,INCLUDES,,,, A1C
ACHIEVED, 73 Lbs,,,, Normal Bmi
INCREASED_TO,0.5,,,, Weight Loss
INCREASED_TO,1,,,, Weight_Loss
STARTS_AT,0.25,,,, 39Lbs
STARTS_AT, 144.4 Kg,,,, Weaning Down
STABLE, A1C,,,, 10% Body Weight Loss
ACHIEVED, Normal Bmi,,,, 10 Pounds Gone
ACHIEVED, Weight Loss,,,, 15Kg Weight Loss
ACHIEVED, Weight Loss,,,,20
ACHIEVED, Weight_Loss,,,, Male
ACHIEVED, 39Lbs,,,,2020
ACHIEVED, Weaning Down,,,, Ozempic
ACHIEVED, 10% Body Weight Loss,,,, 52Lbs
ACHIEVED, Weight Loss,,,, Anxiety
ACHIEVED, 10 Pounds Gone,,,, Medication
ACHIEVED, Weight_Loss,,,, 0.5_Mg
ACHIEVED, 15Kg Weight Loss,,,, 1_Mg
ACHIEVED, Weight Loss,,,, 1 Mg
ACHIEVED,20,,,, 1St Dose 0.25Mg
ACHIEVED, 73 Lbs,,,, 2Nd Dose 0.25Mg
ACHIEVED, Normal Bmi,,,, 3Rd Dose 0.25Mg
ACHIEVED, Weight Loss,,,, 4Th Dose 0.25Mg
ACHIEVED, Weight Loss,,,, 5Th Dose 0.50Mg
ACHIEVED, Weight_Loss,,,, 6Th Dose 0.50Mg
ACHIEVED, 39Lbs,,,, 7Th Dose 0.50Mg
ACHIEVED, Weaning Down,,,, 8Th Dose 0.50Mg
ACHIEVED, 10% Body Weight Loss,,,, 9Th Dose 0.50Mg
ACHIEVED, Weight Loss,,,, 10Th Dose 0.50Mg
ACHIEVED, 10 Pounds Gone,,,, 11Th Dose 0.75Mg
ACHIEVED, Weight_Loss,,,, 12Th Dose 1.00Mg
ACHIEVED, 15Kg Weight Loss,,,, 13Th Dose 1.00Mg
ACHIEVED, Weight Loss,,,, 14Th Dose 1.00Mg
ACHIEVED,20,,,, 15Th Dose 1.00Mg
ACHIEVED_BY, Male,,,, 16Th Dose 1.00Mg
USED_IN,2020,,,, 17Th Dose 1.00Mg
ACHIEVED_BY, Male,,,, 18Th Dose 1.00Mg
ACHIEVES, Weight Loss,,,, 19Th Dose 1.00Mg
ACHIEVES, Weight Loss,,,, 20Th Dose 1.00Mg
ACHIEVING, Weight Loss,,,, 21St Dose 1.00Mg
ACHIEVING, Weight Loss,,,, 22Nd Dose 1.00Mg
ACQUIRED, Ozempic,,,, 23Rd Dose 1.00Mg
ACQUIRED, Ozempic,,,, 24Th Dose 1.00Mg
ADDED_FOR_TREATMENT, Ozempic,,,, 25Th Dose 1.00Mg
ADDED_FOR_TREATMENT, Ozempic,,,, 26Th Dose 1.00Mg
ADDITIONAL_WEIGHT_LOST, 52Lbs,,,, 27Th Dose 1.00Mg
ADDITIONAL_WEIGHT_LOST, 52Lbs,,,, 28Th Dose 1.00Mg
ADJUSTMENT, Anxiety,,,, 29Th Dose 1.00Mg
ADJUSTMENT, Anxiety,,,, 30Th Dose 1.00Mg
ADJUSTMENT_PERIOD, Medication,,,, Full 1Mg Dose
ADJUSTMENT_PERIOD, Medication,,,, 1 Mg Per Week
ADMINISTERED, 0.5_Mg,,,, 2 Mg
ADMINISTERED, 1_Mg,,,, Thigh
ADMINISTERED, Ozempic,,,, Hospital
UPPED_TO, 1 Mg,,,, Intermittent Fasting
UPPED_TO,0.5,,,, Paxlovid
ADMINISTERED, 1St Dose 0.25Mg,,,, Pen
ADMINISTERED, 2Nd Dose 0.25Mg,,,, Metformin
ADMINISTERED, 3Rd Dose 0.25Mg,,,, Heart Palpitations
ADMINISTERED, 4Th Dose 0.25Mg,,,, Pre
ADMINISTERED, 5Th Dose 0.50Mg,,,, Plateau
ADMINISTERED, 6Th Dose 0.50Mg,,,, Gastrointestinal Issues
ADMINISTERED, 7Th Dose 0.50Mg,,,, Weight
ADMINISTERED, 8Th Dose 0.50Mg,,,, Thyroid Cancer
ADMINISTERED, 9Th Dose 0.50Mg,,,, Pcos
ADMINISTERED, 10Th Dose 0.50Mg,,,, Blood_Sugars
ADMINISTERED, 11Th Dose 0.75Mg,,,, Creatinine
ADMINISTERED, 12Th Dose 1.00Mg,,,, Gang
ADMINISTERED, 13Th Dose 1.00Mg,,,, House
ADMINISTERED, 14Th Dose 1.00Mg,,,, Appetite
ADMINISTERED, 15Th Dose 1.00Mg,,,, Cravings_For_Sweets
ADMINISTERED, 16Th Dose 1.00Mg,,,, Blood_Sugar_Regulation
